Title,Url,Rating,Subject,Global_URL
เตรียมเกษียณสำหรับวัยทำงาน (Active ageing pre-retirement),https://www.classcentral.com/course/thaimooc------active-ageing-pre-retirement-15063,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
สาธารณสุขสร้างสุขชุมชน (Community - Public Health),https://www.classcentral.com/course/thaimooc------community-public-health-15082,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
การเรียนรู้ออนไลน์ด้านเอชไอวี/เอดส์ สำหรับเจ้าหน้าที่ภาคสนามและแกนนำ เพื่อเข้าถึงกลุ่ม MSM/TG,https://www.classcentral.com/course/thaimooc-----------------msm-tg-15089,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Medical Humanity: Engaging Patients and Communities in Healthcare ,https://www.classcentral.com/course/medical-humanity-6495,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Continuous Quality Improvement: Tools and Techniques,https://www.classcentral.com/course/swayam-continuous-quality-improvement-tools-and-techniques-13961,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Food and Nutrition,https://www.classcentral.com/course/swayam-food-and-nutrition-14066,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Seguridad nutricional,https://www.classcentral.com/course/miriadax-seguridad-nutricional-14555,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Kesehatan dan Ketenagakerjaan Berkualitas di Era Masyarakat Ekonomi ASEAN,https://www.classcentral.com/course/indonesiax-kesehatan-dan-ketenagakerjaan-berkualitas-di-era-masyarakat-ekonomi-asean-14927,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
"Kesehatan Anak: Mengerti Alergi, Pencegahan dan Mitigasinya",https://www.classcentral.com/course/indonesiax-kesehatan-anak-mengerti-alergi-pencegahan-dan-mitigasinya-14928,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Introduction to Health Humanities,https://www.classcentral.com/course/independent-introduction-to-health-humanities-15188,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Economics of Health and Health Care,https://www.classcentral.com/course/swayam-economics-of-health-and-health-care-14023,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Psycho Social and Family Issues of Individuals with Visual Impairment,https://www.classcentral.com/course/swayam-psycho-social-and-family-issues-of-individuals-with-visual-impairment-14262,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Safer Healthcare for Australia's First Peoples,https://www.classcentral.com/course/first-peoples-safer-healthcare-12021,1,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Improving Health Assessments for People with an Intellectual Disability,https://www.classcentral.com/course/health-assessment-9711,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
Millenials dan Kesehatan Mental,https://www.classcentral.com/course/indonesiax-millenials-dan-kesehatan-mental-14916,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
ศาสตร์แห่งการชะลอวัย (Science of active aging),https://www.classcentral.com/course/thaimooc-----science-of-active-aging-15275,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=21
So you want to work in the Pharmaceutical Industry,https://www.classcentral.com/course/canvas-network-so-you-want-to-work-in-the-pharmaceutical-industry-833,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
MOOC PRE-ECLAMPSIE,https://www.classcentral.com/course/france-universite-numerique-mooc-pre-eclampsie-10846,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Dementia: Understanding and Managing Challenging Behaviour,https://www.classcentral.com/course/futurelearn-dementia-understanding-and-managing-challenging-behaviour-5427,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Jongeren en hun psychische gezondheid,https://www.classcentral.com/course/futurelearn-jongeren-en-hun-psychische-gezondheid-9492,4.75,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Medical Peace Work,https://www.classcentral.com/course/futurelearn-medical-peace-work-8079,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Bloodborne Pathogens,https://www.classcentral.com/course/canvas-network-bloodborne-pathogens-10778,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Resistance to antibacterial agents,https://www.classcentral.com/course/france-universite-numerique-resistance-to-antibacterial-agents-10874,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Liver Disease: Looking after Your Liver,https://www.classcentral.com/course/liver-disease-2251,4,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
ProtéiNNOV : Protéines végétales et Innovation,https://www.classcentral.com/course/france-universite-numerique-proteinnov-proteines-vegetales-et-innovation-10885,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Understanding NHS Values: Becoming a Nurse or Midwife,https://www.classcentral.com/course/nhs-values-nursing-midwifery-7479,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Devenir soignant auprès de nos aînés : un métier d'avenir,https://www.classcentral.com/course/france-universite-numerique-devenir-soignant-aupres-de-nos-aines-un-metier-d-avenir-10889,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
Understanding Innovation in the Healthcare Sciences,https://www.classcentral.com/course/healthcare-innovation-10776,0,Health & Medicine Courses,https://www.classcentral.com/subject/health?page=20
